MES;CONTADOR;CONTADOR_TIPO;CONTADOR_SENTIDO;ZONA;NUMERO
01/03/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Tudela ;Vías Verdes - Eurovelo;388
01/03/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Tudela ;Vías Verdes - Eurovelo;75
01/03/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;13994
01/03/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;65
01/03/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;1938
01/03/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;79
01/03/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;3086
01/03/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;102
01/03/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;284
01/03/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;1179
01/03/2019;Urederra;Peatones;Ida;Recursos turístico ;8822
01/03/2019;Las Roscas;Peatones;Ida;Recursos turístico ;3021
01/03/2019;Xorroxin;Peatones;Ida;Recursos turístico ;1128
01/03/2019;Amaiur;Peatones;Ida;Recursos turístico ;5671
01/04/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;13138
01/04/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;997
01/04/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1140
01/04/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;6796
01/04/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;497
01/04/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;2324
01/04/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Estella;Vías Verdes - Eurovelo;306
01/04/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;450
01/04/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Tudela ;Vías Verdes - Eurovelo;81
01/04/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Tudela ;Vías Verdes - Eurovelo;8
01/04/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;12757
01/04/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;281
01/04/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;9579
01/04/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;342
01/04/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;10128
01/04/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;185
01/04/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;218
01/04/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;1492
01/04/2019;Urederra;Peatones;Ida;Recursos turístico ;9607
01/04/2019;Las Roscas;Peatones;Ida;Recursos turístico ;1734
01/04/2019;Xorroxin;Peatones;Ida;Recursos turístico ;1898
01/04/2019;Amaiur;Peatones;Ida;Recursos turístico ;7004
01/05/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;9042
01/05/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;1207
01/05/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Pamplona;Vías Verdes - Eurovelo;1822
01/05/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;5899
01/05/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;521
01/05/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;6059
01/05/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Álava;Vías Verdes - Eurovelo;289
01/05/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Estella;Vías Verdes - Eurovelo;522
01/05/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;19
01/05/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;8
01/05/2019;Vía Verde Irati (Foz Lumbier);Peatones;Lumbier - Liédena;Vías Verdes - Eurovelo;9240
01/05/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Lumbier - Liédena;Vías Verdes - Eurovelo;448
01/05/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;12072
01/05/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;634
01/05/2019;Aurizberri-Espinal ;Coches;Santiago de Compostela;Camino de Santiago;60
01/05/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;13850
01/05/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;296
01/05/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;187
01/05/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;1665
01/05/2019;Urederra;Peatones;Vuelta;Recursos turístico ;7275
01/05/2019;Las Roscas;Peatones;Ida;Recursos turístico ;2141
01/05/2019;Xorroxin;Peatones;Ida;Recursos turístico ;890
01/05/2019;Amaiur;Peatones;Ida;Recursos turístico ;4578
01/06/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;9136
01/06/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;1153
01/06/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1139
01/06/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;4853
01/06/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;522
01/06/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;5416
01/06/2019;Via Verde Vasco-Navarro (Ancín);Bicicletas;Ancín - Estella;Vías Verdes - Eurovelo;332
01/06/2019;Via Verde Vasco-Navarro (Ancín);Coches;Ancín - Álava;Vías Verdes - Eurovelo;526
01/06/2019;Via Verde Tarazonica (Cascante);Peatones;Cascante - Aragón;Vías Verdes - Eurovelo;922
01/06/2019;Via Verde Tarazonica (Cascante);Bicicletas;Cascante - Aragón;Vías Verdes - Eurovelo;238
01/06/2019;Vía Verde Irati (Foz Lumbier);Peatones;Liédena - Lumbier;Vías Verdes - Eurovelo;10039
01/06/2019;Vía Verde Irati (Foz Lumbier);Bicicletas;Liédena - Lumbier;Vías Verdes - Eurovelo;355
01/06/2019;Aurizberri-Espinal ;Peatones;Santiago de Compostela;Camino de Santiago;9244
01/06/2019;Aurizberri-Espinal ;Bicicletas;Santiago de Compostela;Camino de Santiago;481
01/06/2019;Aurizberri-Espinal ;Coches;Santiago de Compostela;Camino de Santiago;1
01/06/2019;Puente la Reina-Gares;Peatones;Santiago de Compostela;Camino de Santiago;6769
01/06/2019;Puente la Reina-Gares;Bicicletas;Santiago de Compostela;Camino de Santiago;142
01/06/2019;Puente la Reina-Gares;Coches;Santiago de Compostela;Camino de Santiago;252
01/06/2019;Monreal;Peatones;Santiago de Compostela;Camino de Santiago;2042
01/06/2019;Urederra;Peatones;Ida;Recursos turístico ;8797
01/06/2019;Las Roscas;Peatones;Vuelta;Recursos turístico ;1266
01/06/2019;Xorroxin;Peatones;Vuelta;Recursos turístico ;2747
01/06/2019;Amaiur;Peatones;Ida;Recursos turístico ;6287
01/07/2019;Vía Verde Bidasoa (Doneztebe);Peatones;Doneztebe - Pamplona;Vías Verdes - Eurovelo;3947
01/07/2019;Vía Verde Bidasoa (Doneztebe);Bicicletas;Doneztebe - Pamplona;Vías Verdes - Eurovelo;1821
01/07/2019;Vía Verde Bidasoa (Doneztebe);Coches;Doneztebe - Gipuzkoa;Vías Verdes - Eurovelo;1620
01/07/2019;Vía Verde Plazaola (Lekunberri);Peatones;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;3259
01/07/2019;Vía Verde Plazaola (Lekunberri);Bicicletas;Lekunberri - Gipuzkoa;Vías Verdes - Eurovelo;749
01/07/2019;Via Verde Vasco-Navarro (Ancín);Peatones;Ancín - Estella;Vías Verdes - Eurovelo;8262
