"MES";"CONTADOR";"CONTADOR_TIPO";"CONTADOR_SENTIDO";"ZONA";"NUMERO";"TRIMESTRE";"YEAR"
2019-02-01;"Xorroxin";"Peatones";"Ida";"Recursos turístico ";504;"2019-1";2019
2019-02-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";3524;"2019-1";2019
2019-03-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";5343;"2019-1";2019
2019-03-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";963;"2019-1";2019
2019-03-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";1275;"2019-1";2019
2019-03-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";3666;"2019-1";2019
2019-03-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Pamplona";"Vías Verdes - Eurovelo";329;"2019-1";2019
2019-03-01;"Via Verde Vasco-Navarro (Ancín)";"Peatones";"Ancín - Estella";"Vías Verdes - Eurovelo";1220;"2019-1";2019
2019-03-01;"Via Verde Vasco-Navarro (Ancín)";"Bicicletas";"Ancín - Estella";"Vías Verdes - Eurovelo";229;"2019-1";2019
2019-03-01;"Via Verde Vasco-Navarro (Ancín)";"Coches";"Ancín - Álava";"Vías Verdes - Eurovelo";532;"2019-1";2019
2019-03-01;"Via Verde Tarazonica (Cascante)";"Peatones";"Cascante - Tudela ";"Vías Verdes - Eurovelo";388;"2019-1";2019
2019-03-01;"Via Verde Tarazonica (Cascante)";"Bicicletas";"Cascante - Tudela ";"Vías Verdes - Eurovelo";75;"2019-1";2019
2019-03-01;"Vía Verde Irati (Foz Lumbier)";"Peatones";"Lumbier - Liédena";"Vías Verdes - Eurovelo";13994;"2019-1";2019
2019-03-01;"Vía Verde Irati (Foz Lumbier)";"Bicicletas";"Lumbier - Liédena";"Vías Verdes - Eurovelo";65;"2019-1";2019
2019-03-01;"Aurizberri-Espinal ";"Peatones";"Santiago de Compostela";"Camino de Santiago";1938;"2019-1";2019
2019-03-01;"Aurizberri-Espinal ";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";79;"2019-1";2019
2019-03-01;"Puente la Reina-Gares";"Peatones";"Santiago de Compostela";"Camino de Santiago";3086;"2019-1";2019
2019-03-01;"Puente la Reina-Gares";"Bicicletas";"Santiago de Compostela";"Camino de Santiago";102;"2019-1";2019
2019-03-01;"Puente la Reina-Gares";"Coches";"Santiago de Compostela";"Camino de Santiago";284;"2019-1";2019
2019-03-01;"Monreal";"Peatones";"Santiago de Compostela";"Camino de Santiago";1179;"2019-1";2019
2019-03-01;"Urederra";"Peatones";"Ida";"Recursos turístico ";8822;"2019-1";2019
2019-03-01;"Las Roscas";"Peatones";"Ida";"Recursos turístico ";3021;"2019-1";2019
2019-03-01;"Xorroxin";"Peatones";"Ida";"Recursos turístico ";1128;"2019-1";2019
2019-03-01;"Amaiur";"Peatones";"Ida";"Recursos turístico ";5671;"2019-1";2019
2019-04-01;"Vía Verde Bidasoa (Doneztebe)";"Peatones";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";13138;"2019-2";2019
2019-04-01;"Vía Verde Bidasoa (Doneztebe)";"Bicicletas";"Doneztebe - Pamplona";"Vías Verdes - Eurovelo";997;"2019-2";2019
2019-04-01;"Vía Verde Bidasoa (Doneztebe)";"Coches";"Doneztebe - Gipuzkoa";"Vías Verdes - Eurovelo";1140;"2019-2";2019
2019-04-01;"Vía Verde Plazaola (Lekunberri)";"Peatones";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";6796;"2019-2";2019
2019-04-01;"Vía Verde Plazaola (Lekunberri)";"Bicicletas";"Lekunberri - Gipuzkoa";"Vías Verdes - Eurovelo";497;"2019-2";2019
